Country,mid,low,high
Albania,0.265503417,0.172577221,0.365067198
Belarus,0.097695417,0.063502021,0.134331198
Bosnia and Herzegovina,0.391253806,0.254314974,0.537973984
Bulgaria,1.057018937,0.687062309,1.453401038
Croatia,1.750863889,1.138061528,2.407437848
Czechia,2.556344773,1.661624102,3.514974062
Estonia,0.204796332,0.133117616,0.281594956
Georgia,0.152538043,0.099149728,0.209739809
Hungary,4.428933449,2.878806742,6.089783492
Kosovo,0.038852037,0.025253824,0.053421551
Latvia,0.180220275,0.117143179,0.247802878
Lithuania,0.290663434,0.188931232,0.399662222
Moldova,0.272125782,0.176881758,0.37417295
Montenegro,0.063751136,0.041438239,0.087657812
North Macedonia,0.213642718,0.138867767,0.293758738
Poland,8.905577746,5.788625535,12.2451694
Romania,4.608942504,2.995812628,6.337295943
Russia,11.3612079,7.384785135,15.62166086
Serbia,0.291955603,0.189771142,0.401438954
Slovakia,1.503326589,0.977162283,2.06707406
Slovenia,0.533119032,0.346527371,0.733038669
Ukraine,2.398625629,1.559106659,3.29811024
Andorra,0.030067774,0.019544053,0.04134319
Austria,2.00189253,1.301230145,2.752602229
Belgium,3.882097548,2.523363406,5.337884128
Cyprus,0.308169837,0.200310394,0.423733525
Denmark,0.555632589,0.361161183,0.763994809
Finland,0.74469925,0.484054513,1.023961469
France,17.47290546,11.35738855,24.025245
Germany,31.34964299,20.37726794,43.10575911
Gibraltar,0.007976657,0.005184827,0.010967904
Greece,2.251504755,1.463478091,3.095819039
Iceland,0.081294813,0.052841628,0.111780368
Ireland,0.836642031,0.54381732,1.150382793
Italy,18.96831751,12.32940638,26.08143658
Liechtenstein,0.006547817,0.004256081,0.009003248
Luxembourg,0.192533153,0.125146549,0.264733085
Malta,0.14005122,0.091033293,0.192570427
Monaco,0.007628766,0.004958698,0.010489553
Netherlands,4.101033188,2.665671572,5.638920634
Norway,0.821409349,0.533916077,1.129437854
Portugal,5.342571346,3.472671375,7.346035601
Spain,29.29560399,19.04214259,40.28145549
Sweden,1.679247918,1.091511147,2.308965887
Switzerland,1.264362332,0.821835516,1.738498207
Turkey,20.05718095,13.03716762,27.57862381
United Kingdom,17.03405262,11.07213421,23.42182236
Brazil,49.30830125,24.65415063,73.96245188
Japan,57.7332,28.8666,86.5998
Mexico,66.42233936,33.21116968,99.63350903
USA,98.72245656,49.3612,148.0836848
Vietnam,46.6146,23.3073,69.9219
