Country,Disposal_total,Agricultral_application,Unit
Austria,237.938,102.34,Thousand tons
Belgium,131.2,17.03,Thousand tons
Bulgaria,45.3,35.55,Thousand tons
Croatia,3.368,1.224,Thousand tons
Cyprus,7.408,5.402,Thousand tons
Czechia,260.1,234,Thousand tons
Denmark,114.9,78.2,Thousand tons
Estonia,21.8,18.26,Thousand tons
Finland,143,140.14,Thousand tons
France,809,639.11,Thousand tons
Germany,1773.19,620.55,Thousand tons
Greece,118.61,34.51,Thousand tons
Hungary,232.1,167.04,Thousand tons
Ireland,58.773,59,Thousand tons
Italy,953.7,372.06,Thousand tons
Japan,2278.641699,341.85,Thousand tons
Latvia,24.471,24.75,Thousand tons
Lithuania,40.874,37.72,Thousand tons
Luxembourg,8.618,6.966,Thousand tons
Malta,10.3,0,Thousand tons
Mexico,109.5,44,Thousand tons
Netherlands,325.133,4.225,Thousand tons
Norway,121.3,104.06,Thousand tons
Poland,584.454,310.05,Thousand tons
Portugal,119.17,86.87,Thousand tons
Romania,283.34,50.94,Thousand tons
Slovakia,54.52,30.25,Thousand tons
Slovenia,36.6,1.147,Thousand tons
Spain,1082.69,866.4,Thousand tons
Sweden,191.4,179.54,Thousand tons
Switzerland,194.5,0,Thousand tons
United Kingdom,1078.4,840.84,Thousand tons
USA,6513.58643,3517.56,Thousand tons
Vietnam,27.74,5.6,Thousand tons
