Country,Production,Production_Softener,Softener_Washing,Washing_SW,SW_SWLandfill,SW_SWIncineration,SWLandfill_Landfill,SWIncineration_Incineration,SW_SWRecycling,SWRecyling_WW,Washing_WW,WW_Sewage,WW_OnSite,WW_WWSurfacewater,WWSurfacewater_Surfacewater,OnSite_Subsurface,Sewage_WWTP,Sewage_Overflow,Sewage_Exfiltration,Sewage_NoTreatment,Overflow_Surfacewater,NoTreatment_Surfacewater,Exfiltration_Subsurface,WWTP_Surfacewater,WWTP_Sludge,Sludge_STSoil,Sludge_SLandfill,Sludge_SIncineration,SLandfill_Landfill,SIncineration_Incineration
Austria,1,1,1,0.05,0.033311214,0.582983116,1,1,0.38370567,1,0.95,1,0,0,1,1,0.866,0.032,0.065,0.037,1,1,1,1.00E-50,1.00E-50,0.431,0,0.569,1,1
Belgium,1,1,1,0.05,0.012432432,0.546486486,1,1,0.441081081,1,0.95,0.88,0.094,0.026,1,1,0.852,0.032,0.065,0.051,1,1,1,1.00E-50,1.00E-50,0.133,0,0.867,1,1
Bulgaria,1,1,1,0.05,0.623441397,0.074100463,1,1,0.30245814,1,0.95,0.76,0.188,0.051,1,1,0.753,0.032,0.065,0.15,1,1,1,1.00E-50,1.00E-50,0.795,0.205,0,1,1
Croatia,1,1,1,0.05,0.745859873,0.000636943,1,1,0.253503185,1,0.95,0.546,0.357,0.097,1,1,0.875,0.032,0.065,0.028,1,1,1,1.00E-50,1.00E-50,0.361,0.639,0,1,1
Cyprus,1,1,1,0.05,0.841463415,0,1,1,0.158536585,1,0.95,0.418,0.457,0.125,1,1,0.643,0.032,0.065,0.26,1,1,1,1.00E-50,1.00E-50,0.726,0,0.274,1,1
Czechia,1,1,1,0.05,0.528476438,0.178086152,1,1,0.29343741,1,0.95,0.823,0.139,0.038,1,1,0.903,0.032,0.065,0,1,1,1,1.00E-50,1.00E-50,0.903,0.073,0.024,1,1
Denmark,1,1,1,0.05,0.012404328,0.603193455,1,1,0.384402217,1,0.95,1,0,0,1,1,0.831,0.032,0.065,0.072,1,1,1,1.00E-50,1.00E-50,0.678,0.013,0.31,1,1
Estonia,1,1,1,0.05,0.246929208,0.474076617,1,1,0.278994175,1,0.95,0.829,0.134,0.037,1,1,0.903,0.032,0.065,0,1,1,1,1.00E-50,1.00E-50,0.829,0.171,0,1,1
Finland,1,1,1,0.05,0.008320176,0.656228111,1,1,0.335451713,1,0.95,0.85,0.118,0.032,1,1,0.903,0.032,0.065,0,1,1,1,1.00E-50,1.00E-50,0.979,0.021,0,1,1
France,1,1,1,0.05,0.25815702,0.432593111,1,1,0.309249869,1,0.95,0.81,0.149,0.041,1,1,0.903,0.032,0.065,0,1,1,1,1.00E-50,1.00E-50,0.792,0.017,0.191,1,1
Germany,1,1,1,0.05,0.002927514,0.385560825,1,1,0.611511662,1,0.95,0.986,0.011,0.003,1,1,0.89,0.032,0.065,0.013,1,1,1,1.00E-50,1.00E-50,0.353,0,0.647,1,1
Greece,1,1,1,0.05,0.83509921,0.011173184,1,1,0.153727605,1,0.95,0.934,0.052,0.014,1,1,0.903,0.032,0.065,0,1,1,1,1.00E-50,1.00E-50,0.291,0.357,0.352,1,1
Hungary,1,1,1,0.05,0.538551062,0.145766657,1,1,0.315682281,1,0.95,0.804,0.154,0.042,1,1,0.903,0.032,0.065,0,1,1,1,1.00E-50,1.00E-50,0.718,0.005,0.277,1,1
Ireland,1,1,1,0.05,0.262200127,0.370792098,1,1,0.367007775,1,0.95,0.642,0.281,0.077,1,1,0.88,0.032,0.065,0.023,1,1,1,1.00E-50,1.00E-50,0.998,0.002,0,1,1
Italy,1,1,1,0.05,0.310082708,0.275182866,1,1,0.414734427,1,0.95,0.94,0.047,0.013,1,1,0.6,0.032,0.065,0.303,1,1,1,1.00E-50,1.00E-50,0.387,0.567,0.045,1,1
Japan,1,1,1,0.05,0.009816555,0.791158072,1,1,0.199025373,1,0.95,0.788,0.167,0.045,1,1,0.903,0.032,0.065,0,1,1,1,1.00E-50,1.00E-50,0.152,0.235,0.613,1,1
Latvia,1,1,1,0.05,0.736735556,0.023958491,1,1,0.239305953,1,0.95,0.8,0.158,0.043,1,1,0.903,0.032,0.065,0,1,1,1,1.00E-50,1.00E-50,0.987,0.002,0.011,1,1
Lithuania,1,1,1,0.05,0.401138613,0.2040484,1,1,0.394812987,1,0.95,0.788,0.167,0.045,1,1,0.87,0.032,0.065,0.033,1,1,1,1.00E-50,1.00E-50,0.918,0.079,0.004,1,1
Luxembourg,1,1,1,0.05,0.079418945,0.56033035,1,1,0.360250706,1,0.95,1,0,0,1,1,0.89,0.032,0.065,0.013,1,1,1,1.00E-50,1.00E-50,0.815,0,0.185,1,1
Malta,1,1,1,0.05,0.93006993,0,1,1,0.06993007,1,0.95,0.988,0.009,0.003,1,1,0.903,0.032,0.065,0,1,1,1,1.00E-50,1.00E-50,0,1,0,1,1
Mexico,1,1,1,0.05,0.930184903,0,1,1,0.069815097,1,0.95,0.914,0.068,0.018,1,1,0.632,0.032,0.065,0.271,1,1,1,1.00E-50,1.00E-50,0.2,0.8,0,1,1
Netherlands,1,1,1,0.05,0.019948931,0.600383019,1,1,0.37966805,1,0.95,1,0,0,1,1,0.898,0.032,0.065,0.005,1,1,1,1.00E-50,1.00E-50,0.013,0.003,0.984,1,1
Norway,1,1,1,0.05,0.036997417,0.599360243,1,1,0.36364234,1,0.95,0.873,0.1,0.027,1,1,0.883,0.032,0.065,0.02,1,1,1,1.00E-50,1.00E-50,0.855,0.145,0,1,1
Poland,1,1,1,0.05,0.452453587,0.262616578,1,1,0.284929835,1,0.95,0.741,0.204,0.056,1,1,0.902,0.032,0.065,0.001,1,1,1,1.00E-50,1.00E-50,0.525,0.06,0.415,1,1
Portugal,1,1,1,0.05,0.61723917,0.227599544,1,1,0.155161285,1,0.95,0.888,0.088,0.024,1,1,0.899,0.032,0.065,0.004,1,1,1,1.00E-50,1.00E-50,0.73,0.27,0,1,1
Romania,1,1,1,0.05,0.857488987,0.0530837,1,1,0.089427313,1,0.95,0.509,0.386,0.105,1,1,0.88,0.032,0.065,0.023,1,1,1,1.00E-50,1.00E-50,0.179,0.821,0,1,1
Slovakia,1,1,1,0.05,0.612365064,0.091756624,1,1,0.295878312,1,0.95,0.677,0.254,0.069,1,1,0.896,0.032,0.065,0.007,1,1,1,1.00E-50,1.00E-50,0.551,0.176,0.274,1,1
Slovenia,1,1,1,0.05,0.153748553,0.166230512,1,1,0.680020935,1,0.95,0.717,0.222,0.061,1,1,0.85,0.032,0.065,0.053,1,1,1,1.00E-50,1.00E-50,0.031,0.023,0.947,1,1
Spain,1,1,1,0.05,0.619521068,0.158539954,1,1,0.221938978,1,0.95,0.894,0.084,0.023,1,1,0.892,0.032,0.065,0.011,1,1,1,1.00E-50,1.00E-50,0.798,0.16,0.042,1,1
Sweden,1,1,1,0.05,0.008037998,0.636379924,1,1,0.355582078,1,0.95,0.87,0.102,0.028,1,1,0.903,0.032,0.065,0,1,1,1,1.00E-50,1.00E-50,0.945,0.023,0.032,1,1
Switzerland,1,1,1,0.05,0,0.606112054,1,1,0.393887946,1,0.95,0.983,0.013,0.004,1,1,0.9,0.032,0.065,0.003,1,1,1,1.00E-50,1.00E-50,0,0,1,1,1
United Kingdom,1,1,1,0.05,0.181723683,0.482429398,1,1,0.335846919,1,0.95,1,0,0,1,1,0.903,0.032,0.065,0,1,1,1,1.00E-50,1.00E-50,0.783,0.004,0.212,1,1
USA,1,1,1,0.05,0.572033466,0.139462438,1,1,0.288504096,1,0.95,0.755,0.193,0.053,1,1,0.903,0.032,0.065,0,1,1,1,1.00E-50,1.00E-50,0.54,0.308,0.152,1,1
Vietnam,1,1,1,0.05,1,0,1,1,0,1,0.95,0.228,0.607,0.165,1,1,0.499,0.032,0.065,0.404,1,1,1,1.00E-50,1.00E-50,0.2,0.8,0,1,1
